commit,method,oldTime,currTime,diffTime,changePercent
6eca4c05986bac88d1b65af83348a754efa36559,testCopy_stringToOutputStream,1e+03,-1e+03,-3e+03,-2
6eca4c05986bac88d1b65af83348a754efa36559,testCopy_readerToOutputStream,1e+03,5e+03,3e+03,2
6eca4c05986bac88d1b65af83348a754efa36559,testWrite_stringToOutputStream_nullEncoding,1e+03,4e+03,3e+03,3
6eca4c05986bac88d1b65af83348a754efa36559,testWrite_byteArrayToWriter,1e+03,-1e+04,-2e+04,-1e+01
6eca4c05986bac88d1b65af83348a754efa36559,testWrite_stringToWriter,1e+03,-1e+03,-3e+03,-2
6eca4c05986bac88d1b65af83348a754efa36559,testWrite_byteArrayToWriter_Encoding_nullEncoding,1e+03,-2e+03,-4e+03,-3
6eca4c05986bac88d1b65af83348a754efa36559,testWrite_charArrayToWriter,1e+03,-1e+04,-1e+04,-9
6eca4c05986bac88d1b65af83348a754efa36559,testStream,3e+02,-5e+03,-5e+03,-2e+01
328a7efc17e8c77853fea42a84808dd1d26c8d5a,testFileCleanerDirectory_ForceStrategy,2e+06,-9e+08,-9e+08,-4e+02
328a7efc17e8c77853fea42a84808dd1d26c8d5a,testFileCleanerDirectory,2e+06,-1e+09,-1e+09,-6e+02
328a7efc17e8c77853fea42a84808dd1d26c8d5a,testFileCleanerDirectory_NullStrategy,2e+06,-1e+09,-1e+09,-6e+02
53615435dbb357c140a5eb6a15f7a1c10a434458,testFileCleanerExitWhenFinishedFirst,1e+04,-5e+09,-5e+09,-4e+05
59ffcad15d220c2bc1f70f01d58bc31dec04b423,testStopWithNoFile,2e+07,2e+07,-4e+04,-0.002
